8	83
4	39
3	99
3	33
2	8
0	6
3	17
9	24
9	3
8	20
4	82
1	30
5	72
3	68
5	0
0	64
7	2
9	64
0	65
9	52
5	4
0	48
3	74
5	93
0	1
2	56
1	74
5	48
4	33
0	75
8	11
8	28
1	89
8	12
6	19
4	80
5	6
1	90
2	94
0	87
0	36
2	47
5	72
4	61
6	23
0	45
0	90
9	71
2	66
3	67
4	52
9	76
3	12
4	76
4	2
6	58
8	54
4	92
3	25
9	86
1	18
2	74
8	4
6	81
6	0
8	26
1	77
4	67
4	37
6	83
9	59
6	47
4	51
9	98
1	1
1	86
1	29
9	88
7	79
3	7
4	95
3	11
6	85
9	32
8	8
6	7
0	85
3	71
0	19
4	46
1	44
9	15
7	8
8	71
0	83
8	27
4	3
4	17
5	90
8	61
8	55
2	24
7	97
5	46
3	82
5	70
0	41
8	90
9	83
4	15
6	19
0	85
9	97
0	18
6	96
9	52
9	38
3	53
9	16
5	10
2	34
4	39
9	9
7	68
4	49
4	81
5	20
7	44
5	99
6	90
9	93
4	12
4	94
6	84
1	72
4	85
8	37
8	0
8	39
0	25
2	70
4	70
6	53
8	58
4	61
6	16
6	61
4	53
4	30
1	80
7	16
8	85
1	13
0	56
5	98
5	83
9	94
6	99
8	61
5	43
4	80
7	70
0	27
3	45
2	2
0	13
9	22
5	80
3	15
8	34
8	52
4	90
8	18
1	21
7	98
6	77
7	34
7	44
7	60
9	42
2	67
1	99
0	33
3	22
1	82
5	26
2	52
7	6
0	69
6	68
1	74
6	29
9	84
9	30
3	89
0	27
5	8
6	53
8	40
0	77
4	12
1	61
2	57
4	12
3	14
3	89
0	53
3	96
7	19
7	6
6	4
2	8
8	1
2	71
0	13
5	32
6	0
3	63
8	69
8	7
8	0
0	65
8	76
1	36
6	1
0	36
3	7
7	62
4	49
3	65
8	21
0	23
0	98
1	27
9	68
9	6
6	83
8	25
4	27
8	68
7	96
2	67
1	36
6	58
0	87
8	94
5	16
5	51
4	75
0	1
5	87
3	57
7	34
3	31
1	38
8	17
1	39
9	0
9	73
8	71
6	44
1	65
0	32
2	80
1	65
1	76
0	86
6	20
3	76
7	45
5	23
2	28
9	73
8	55
4	53
2	21
8	8
5	93
6	14
5	47
9	95
4	8
6	37
3	30
3	80
8	2
5	4
1	68
5	94
6	83
4	60
3	93
0	41
9	54
5	93
8	70
6	57
1	83
8	64
9	22
0	22
7	31
7	81
4	63
3	49
7	0
9	44
4	37
7	1
8	30
1	31
1	97
7	93
6	77
2	17
0	91
6	83
6	42
4	76
7	50
8	10
0	45
9	94
9	85
4	34
4	90
4	12
4	3
2	17
1	26
1	7
0	4
8	30
5	25
7	53
9	68
6	42
7	81
7	80
0	2
1	26
1	26
6	14
1	39
1	41
7	56
9	78
9	53
2	83
6	91
1	46
2	15
7	61
1	99
2	13
7	17
2	30
8	93
0	93
8	57
5	19
9	58
2	96
5	20
4	20
7	94
0	67
5	27
9	46
7	16
1	12
0	97
0	32
9	14
4	12
3	44
5	37
4	95
8	5
2	30
8	99
4	90
6	67
7	68
3	16
0	5
4	43
2	67
1	66
2	59
0	84
9	78
7	20
9	71
7	64
8	73
1	70
7	23
7	34
0	31
1	34
9	82
9	28
7	19
3	85
1	80
8	82
0	43
8	57
9	56
0	20
1	29
1	75
2	30
0	44
1	1
7	10
1	74
1	49
1	60
7	29
1	58
2	44
3	42
5	23
7	20
5	82
8	62
4	50
2	62
5	39
1	84
5	94
0	2
5	84
5	50
4	58
7	49
7	65
6	27
1	1
0	38
7	2
9	2
3	36
1	11
5	60
4	36
1	5
0	61
6	94
0	11
1	67
4	2
6	49
6	25
9	92
1	79
7	98
5	38
1	58
0	36
2	39
3	98
7	24
7	93
2	62
1	35
4	24
9	79
8	67
7	17
1	29
9	53
1	67
1	19
7	40
2	72
3	99
7	43
1	86
3	57
3	4
5	96
1	82
4	77
0	58
7	65
1	92
1	47
9	81
9	34
7	74
3	55
5	46
5	46
4	66
2	27
7	39
5	99
4	99
7	47
5	44
3	54
3	37
7	34
9	7
4	75
1	95
2	87
3	52
5	41
1	28
0	68
2	61
7	51
9	77
2	35
9	2
6	36
5	55
8	97
7	11
1	66
5	52
3	91
8	95
3	33
7	77
5	60
4	87
6	76
1	45
8	66
5	23
0	7
6	60
6	61
7	63
8	3
0	3
9	86
2	22
0	84
0	90
1	49
3	15
3	39
0	18
0	66
2	53
1	39
6	74
5	55
3	71
3	84
1	15
5	59
3	32
6	56
3	76
4	3
1	15
3	81
5	92
6	37
4	39
1	81
8	30
1	11
8	39
6	98
3	22
6	76
5	21
7	40
7	52
9	1
9	87
1	9
2	1
4	77
2	5
1	6
9	89
6	79
8	36
2	69
9	67
1	84
0	40
4	69
0	38
8	69
4	65
5	66
6	72
0	14
8	92
2	79
2	35
4	57
6	63
7	55
1	66
3	66
7	13
8	32
1	10
7	17
5	9
3	3
9	21
0	63
3	77
1	87
3	34
8	81
5	19
9	41
4	22
7	65
0	18
9	8
7	57
6	5
6	54
0	95
6	8
8	3
9	42
1	35
0	62
1	10
6	93
6	16
5	13
7	38
3	38
3	73
9	90
8	54
7	78
8	7
6	57
4	85
7	21
6	3
8	96
2	82
8	81
0	83
1	63
8	46
9	45
7	99
6	53
0	17
0	9
2	42
9	29
3	93
0	67
4	10
5	66
4	14
7	15
1	2
2	87
2	47
6	8
0	56
3	6
5	35
4	19
2	9
1	95
2	27
6	37
3	49
5	63
0	30
8	90
1	37
5	14
4	62
8	28
3	17
7	22
2	30
7	28
8	51
1	52
3	46
5	82
2	85
4	14
7	96
7	58
8	81
9	72
1	23
2	63
1	57
7	78
2	99
0	19
4	33
9	60
4	36
0	76
6	66
3	33
1	57
5	94
7	66
4	37
1	61
2	14
8	37
3	30
2	41
8	37
9	47
8	15
4	40
1	96
6	30
2	1
8	74
0	97
8	98
6	19
0	43
6	25
1	95
3	92
0	29
3	74
5	23
9	11
8	42
3	77
4	69
2	19
0	55
8	47
1	88
4	36
4	33
0	28
9	60
0	66
1	78
5	70
2	44
3	86
5	74
9	16
1	65
2	25
1	8
2	64
2	57
6	51
6	98
1	79
5	87
4	87
7	37
5	10
5	28
5	50
1	18
1	23
6	42
8	54
4	22
3	76
3	65
1	13
0	51
5	32
5	40
4	3
4	39
5	91
2	94
0	25
6	48
2	47
3	88
9	30
1	18
7	50
9	73
3	82
0	21
7	54
9	81
1	54
4	84
7	77
4	35
4	19
4	75
9	22
9	8
7	10
7	77
6	97
2	49
8	24
5	39
2	70
4	39
3	48
3	6
0	26
2	1
5	65
0	29
0	42
5	19
7	73
2	43
1	74
1	27
0	45
8	54
2	50
8	6
9	10
7	29
4	67
1	40
1	45
3	63
9	52
5	5
